,Class,Family,Genome Composition,Genus,Kingdom,Last Change,MSL of Last Change,Order,Phylum,Proposal for Last Change ,PubMed_Search,PubMed_Search_ln,Realm,Sort,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Taxon History URL,Type Species?,family,genus,hits,hits_ln,number_of hosts,number_of hosts_x,number_of hosts_y,order,species,tax_id,tax_id_n,virus_name
299,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,6,1.7919261220073759,,435.0,Kairi orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180113,0.0,Peribunyaviridae,Orthobunyavirus,18,2.8904273119085677,1,,,Bunyavirales,Kairi orthobunyavirus,80939,80939,Kairi virus
300,Ellioviricetes,Nairoviridae,ssRNA(-),Orthonairovirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,399.0,Kasokero orthonairovirus,,,,,,Polyploviricotina,,ICTVonline=20180075,0.0,Nairoviridae,Orthonairovirus,6,1.7919261220073759,2,,,Bunyavirales,Kasokero orthonairovirus,1712570,1712570,Kasokero virus
301,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ledantevirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,4,1.3865443298750981,,203.0,Kern Canyon ledantevirus,,,,,,Haploviricotina,,ICTVonline=20181710,0.0,Rhabdoviridae,Ledantevirus,5,1.6096378924367667,1,,,Mononegavirales,Kern Canyon ledantevirus,380433,380433,Kern Canyon virus
302,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ledantevirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,204.0,Keuraliba ledantevirus,,,,,,Haploviricotina,,ICTVonline=20181711,0.0,Rhabdoviridae,Ledantevirus,4,1.3865443298750981,1,,,Mononegavirales,Keuraliba ledantevirus,380440,380440,Keuraliba virus
303,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,7,1.9460529959950605,,373.0,Khabarovsk orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180041,0.0,Hantaviridae,Orthohantavirus,47,3.85016887807946,3,,,Bunyavirales,Khabarovsk orthohantavirus,1980475,1980475,Khabarovsk virus
304,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,8,2.079566533867987,,223.0,Khujand lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181730,0.0,Rhabdoviridae,Lyssavirus,2,0.6936470556015963,2,,,Mononegavirales,Khujand lyssavirus,237716,237716,Khujand virus
305,,Parvoviridae,ssDNA(+/-),Protoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,87,4.4659196128413985,,3995.0,Rodent protoparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184275,1.0,Parvoviridae,Protoparvovirus,13,2.5650262775800314,1,,,,Rodent protoparvovirus 1,12441,12441,Kilham rat virus
306,,Flaviviridae,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,8,2.079566533867987,,2967.0,Kokobera virus,,,,,,,,ICTVonline=20183092,0.0,Flaviviridae,Flavivirus,89,4.488647605624073,1,,,,Kokobera virus,44024,44024,Kokobera virus
307,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,8,2.079566533867987,,2968.0,Koutango virus,,,,,,,,ICTVonline=20183093,0.0,Flaviviridae,Flavivirus,5,1.6096378924367667,6,,,,Koutango virus,44025,44025,Koutango virus
308,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,11,2.3979861777572986,,2989.0,Tick-borne encephalitis virus,,,,,,,,ICTVonline=20183114,0.0,Flaviviridae,Flavivirus,2,0.6936470556015963,7,,,,Tick-borne encephalitis virus,11092,11092,Kumlinge virus
309,,Flaviviridae,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,155,5.0434315685113384,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,159,5.06891049150863,9,,,,West Nile virus,11077,11077,Kunjin virus
310,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,93,4.532610245783618,,2969.0,Kyasanur Forest disease virus,,,,,,,,ICTVonline=20183094,0.0,Flaviviridae,Flavivirus,255,5.541267466719364,7,,,,Kyasanur Forest disease virus,33743,33743,Kyasanur Forest disease virus
311,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,0,-6.907755278982137,,2969.0,Kyasanur Forest disease virus,,,,,,,,ICTVonline=20183094,0.0,Flaviviridae,Flavivirus,255,5.541267466719364,22,,,,Kyasanur Forest disease virus,33743,33743,Kyasanur forest virus
312,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,279,5.631215366044333,,425.0,California encephalitis orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180103,0.0,Peribunyaviridae,Orthobunyavirus,325,5.7838282592480805,0,,,Bunyavirales,California encephalitis orthobunyavirus,11577,11577,La Crosse virus
313,,Arteriviridae,ssRNA(+),Gammaarterivirus,,"Renamed,Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,207,5.3327236241715745,,1686.0,Gammaarterivirus lacdeh,,Variarterivirinae,,,Arnidovirineae,,,ICTVonline=20181831,1.0,Arteriviridae,Gammaarterivirus,30,3.4012307144399454,1,,,Nidovirales,Gammaarterivirus lacdeh,11048,11048,Lactate dehydrogenase-elevating virus
314,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,224.0,Lagos bat lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181731,0.0,Rhabdoviridae,Lyssavirus,100,4.605180185938091,0,,,Mononegavirales,Lagos bat lyssavirus,38766,38766,Lagos bat lyssavirus
315,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,374.0,Laguna Negra orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180042,0.0,Hantaviridae,Orthohantavirus,35,3.5553766325098297,0,,,Bunyavirales,Laguna Negra orthohantavirus,1980476,1980476,Laguna Negra orthohantavirus
316,Monjiviricetes,Filoviridae,ssRNA(-),Marburgvirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,13,2.5650262775800314,,68.0,Marburg marburgvirus,,,,,,Haploviricotina,,ICTVonline=20181571,1.0,Filoviridae,Marburgvirus,330,5.7990956847589645,5,,,Mononegavirales,Marburg marburgvirus,11269,11269,Lake Victoria marburgvirus
317,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,149,5.003953017332334,,2970.0,Langat virus,,,,,,,,ICTVonline=20183095,0.0,Flaviviridae,Flavivirus,21,3.0445700556372914,1,,,,Langat virus,11085,11085,Langat virus
318,,Retroviridae,ssRNA-RT,Betaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,7,1.9460529959950605,,1909.0,Langur virus,,Orthoretrovirinae,,,,,,ICTVonline=20184993,0.0,Retroviridae,Betaretrovirus,1,0.0009995003330834232,2,,,Ortervirales,Langur virus,363747,363747,Langur virus
319,,,,,,,,,,,0,-6.907755278982137,,,,,,,,,,,,,,,0,-6.907755278982137,1,,,,not_found,0,0,Lapine parvovirus
320,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,311.0,Lassa mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182580,0.0,Arenaviridae,Mammarenavirus,1921,7.560601683330629,0,,,Bunyavirales,Lassa mammarenavirus,11620,11620,Lassa mammarenavirus
321,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,312.0,Latino mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182581,0.0,Arenaviridae,Mammarenavirus,43,3.7612233712371035,2,,,Bunyavirales,Latino mammarenavirus,45221,45221,Latino virus
322,,Reoviridae,dsRNA,Orbivirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,1,0.0009995003330834232,,4512.0,Lebombo virus,,Sedoreovirinae,,,,,,ICTVonline=20184889,0.0,Reoviridae,Orbivirus,20,2.995782272304033,3,,,,Lebombo virus,40057,40057,Lebombo virus
323,,Picornaviridae,ssRNA(+),Parechovirus,,"Renamed,",29.0,Picornavirales,,2014.016aV.A.v1.Picornaviridae_spren.pdf,64,4.1588987082376025,,2073.0,Parechovirus B,,,,,,,,ICTVonline=20182039,0.0,Picornaviridae,Parechovirus,69,4.2341209972458635,11,,,Picornavirales,Parechovirus B,172314,172314,Ljungan virus
324,Monjiviricetes,Filoviridae,ssRNA(-),Cuevavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,12,2.4849899796493045,,62.0,Lloviu cuevavirus,,,,,,Haploviricotina,,ICTVonline=20181563,1.0,Filoviridae,Cuevavirus,5,1.6096378924367667,2,,,Mononegavirales,Lloviu cuevavirus,1513237,1513237,Lloviu virus
325,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,132,4.88280949831525,,2971.0,Louping ill virus,,,,,,,,ICTVonline=20183096,0.0,Flaviviridae,Flavivirus,43,3.7612233712371035,8,,,,Louping ill virus,11086,11086,Louping ill virus
326,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,132,4.88280949831525,,2971.0,Louping ill virus,,,,,,,,ICTVonline=20183096,0.0,Flaviviridae,Flavivirus,43,3.7612233712371035,24,,,,Louping ill virus,11086,11086,Louping-ill virus
327,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,314.0,Lujo mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182583,0.0,Arenaviridae,Mammarenavirus,7,1.9460529959950605,0,,,Bunyavirales,Lujo mammarenavirus,649188,649188,Lujo mammarenavirus
328,,Poxviridae,dsDNA,Capripoxvirus,,"Moved,",5.0,,,Ratification_1978.pdf,118,4.770693099006027,,4438.0,Lumpy skin disease virus,,Chordopoxvirinae,,,,,,ICTVonline=20184752,0.0,Poxviridae,Capripoxvirus,334,5.811143986984194,2,,,,Lumpy skin disease virus,59509,59509,Lumpy skin disease virus
329,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,3,1.09894556645823,,317.0,Lymphocytic choriomeningitis mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182586,1.0,Arenaviridae,Mammarenavirus,432,6.068427903056246,0,,,Bunyavirales,Lymphocytic choriomeningitis mammarenavirus,11623,11623,Lymphocytic choriomeningitis mammarenavirus
330,,Coronaviridae,ssRNA(+),Betacoronavirus,,"Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,235,5.459589769454254,,1712.0,Middle East respiratory syndrome-related coronavirus,,Orthocoronavirinae,Merbecovirus,,Cornidovirineae,,,ICTVonline=20181864,0.0,Coronaviridae,Betacoronavirus,1176,7.069874978798347,14,,,Nidovirales,Middle East respiratory syndrome-related coronavirus,1335626,1335626,MERS coronavirus
331,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,318.0,Machupo mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182587,0.0,Arenaviridae,Mammarenavirus,142,4.9558340998299855,0,,,Bunyavirales,Machupo mammarenavirus,11628,11628,Machupo mammarenavirus
332,,Herpesviridae,dsDNA,Simplexvirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,10,2.3026850879943788,,1580.0,Macropodid alphaherpesvirus 1,,Alphaherpesvirinae,,,,,,ICTVonline=20181432,0.0,Herpesviridae,Simplexvirus,7,1.9460529959950605,2,,,Herpesvirales,Macropodid alphaherpesvirus 1,137443,137443,Macropodid herpesvirus 1
333,,Herpesviridae,dsDNA,Simplexvirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,5,1.6096378924367667,,1581.0,Macropodid alphaherpesvirus 2,,Alphaherpesvirinae,,,,,,ICTVonline=20181433,0.0,Herpesviridae,Simplexvirus,3,1.09894556645823,2,,,Herpesvirales,Macropodid alphaherpesvirus 2,83440,83440,Macropodid herpesvirus 2
334,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,2,0.6936470556015963,,437.0,Madrid orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180115,0.0,Peribunyaviridae,Orthobunyavirus,10,2.3026850879943788,1,,,Bunyavirales,Madrid orthobunyavirus,348013,348013,Madrid virus
335,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,9,2.1973356822749484,,438.0,Main Drain orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180116,0.0,Peribunyaviridae,Orthobunyavirus,12,2.4849899796493045,2,,,Bunyavirales,Main Drain orthobunyavirus,80938,80938,Main Drain virus
336,,Reoviridae,dsRNA,Orthoreovirus,,"Moved,",25.0,,,2007.127-129V.v2.Spina-Sedoreovirinae.pdf,64,4.1588987082376025,,4584.0,Mammalian orthoreovirus,,Spinareovirinae,,,,,,ICTVonline=20184972,1.0,Reoviridae,Orthoreovirus,931,6.836260351390346,2,,,,Mammalian orthoreovirus,351073,351073,Mammalian orthoreovirus
337,Monjiviricetes,Paramyxoviridae,ssRNA(-),Rubulavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,5,1.6096378924367667,,138.0,Mapuera rubulavirus,,,,,,Haploviricotina,,ICTVonline=20181633,0.0,Paramyxoviridae,Rubulavirus,3,1.09894556645823,1,,,Mononegavirales,Mapuera rubulavirus,1979163,1979163,Mapuera virus
338,Monjiviricetes,Filoviridae,ssRNA(-),Marburgvirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,595,6.388563086216486,,68.0,Marburg marburgvirus,,,,,,Haploviricotina,,ICTVonline=20181571,1.0,Filoviridae,Marburgvirus,330,5.7990956847589645,20,,,Mononegavirales,Marburg marburgvirus,11269,11269,Marburg virus
339,Ellioviricetes,Peribunyaviridae,ssRNA(-),Orthobunyavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,9,2.1973356822749484,,440.0,Marituba orthobunyavirus,,,,,,Polyploviricotina,,ICTVonline=20180118,0.0,Peribunyaviridae,Orthobunyavirus,21,3.0445700556372914,10,,,Bunyavirales,Marituba orthobunyavirus,292278,292278,Marituba virus
340,,,,,,,,,,,0,-6.907755278982137,,,,,,,,,,,,,,,0,-6.907755278982137,1,,,,not_found,0,0,Marmodid herpesvirus 1
341,,Retroviridae,ssRNA-RT,Betaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,321,5.771444238389961,,1910.0,Mason-Pfizer monkey virus,,Orthoretrovirinae,,,,,,ICTVonline=20184994,0.0,Retroviridae,Betaretrovirus,153,5.030444457318788,2,,,Ortervirales,Mason-Pfizer monkey virus,11855,11855,Mason-Pfizer monkey virus
342,,Papillomaviridae,dsDNA,Iotapapillomavirus,,"New,",32.0,,,2017.010D.A.v1.Papillomaviridae_2subf.zip,10,2.3026850879943788,,3821.0,Iotapapillomavirus 1,,Firstpapillomavirinae,,,,,,ICTVonline=20184082,1.0,Papillomaviridae,Iotapapillomavirus,21,3.0445700556372914,1,,,,Iotapapillomavirus 1,10567,10567,Mastomys natalensis papillomavirus
343,,Togaviridae,ssRNA(+),Alphavirus,,"Moved,",2.0,,,Ratification_1974.pdf,130,4.867542142733689,,4681.0,Mayaro virus,,,,,,,,ICTVonline=20185095,0.0,Togaviridae,Alphavirus,184,5.214941192376826,3,,,,Mayaro virus,59301,59301,Mayaro virus
344,Monjiviricetes,Paramyxoviridae,ssRNA(-),Morbillivirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,5222,8.560635940756566,,123.0,Measles morbillivirus,,,,,,Haploviricotina,,ICTVonline=20181616,1.0,Paramyxoviridae,Morbillivirus,16322,9.700269231296188,9,,,Mononegavirales,Measles morbillivirus,11234,11234,Measles virus
345,Monjiviricetes,Paramyxoviridae,ssRNA(-),Rubulavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,29,3.367330312150578,,139.0,Menangle rubulavirus,,,,,,Haploviricotina,,ICTVonline=20181634,0.0,Paramyxoviridae,Rubulavirus,3,1.09894556645823,6,,,Mononegavirales,Menangle rubulavirus,152219,152219,Menangle virus
346,,Togaviridae,ssRNA(+),Alphavirus,,"Renamed,",6.0,,,ICTV 3rd Report.pdf,11,2.3979861777572986,,4682.0,Middelburg virus,,,,,,,,ICTVonline=20185096,0.0,Togaviridae,Alphavirus,17,2.833272165855592,1,,,,Middelburg virus,11023,11023,Middelburg virus
347,,Coronaviridae,ssRNA(+),Betacoronavirus,,"Moved,",33.0,Nidovirales,,2017.012_015S.A.v1.Nidovirales.zip,6,1.7919261220073759,,1712.0,Middle East respiratory syndrome-related coronavirus,,Orthocoronavirinae,Merbecovirus,,Cornidovirineae,,,ICTVonline=20181864,0.0,Coronaviridae,Betacoronavirus,1176,7.069874978798347,0,,,Nidovirales,Middle East respiratory syndrome-related coronavirus,1335626,1335626,Middle East respiratory syndrome-related coronavirus
348,,,,,,,,,,,0,-6.907755278982137,,,,,,,,,,,,,,,0,-6.907755278982137,2,,,,not_found,0,0,Minatitlan virus
349,,Astroviridae,ssRNA(+),Mamastrovirus,,"Renamed,",26.0,,,2010.018a-cV.A.v4.Mamastrovirus.pdf,8,2.079566533867987,,2632.0,Mamastrovirus 10,,,,,,,,ICTVonline=20182635,0.0,Astroviridae,Mamastrovirus,30,3.4012307144399454,1,,,,Mamastrovirus 10,1239574,1239574,Mink astrovirus
350,,,,,,,,,,,4,1.3865443298750981,,,,,,,,,,,,,Caliciviridae,Vesivirus,9,2.1973356822749484,1,,,,Mink calicivirus,154122,154122,Mink calicivirus
351,,,,,,,,,,,0,-6.907755278982137,,,,,,,,,,,,,Caliciviridae,Sapovirus,7,1.9460529959950605,1,,,,Mink enteric sapovirus,154121,154121,Mink enteric sapovirus
352,,Parvoviridae,ssDNA(+/-),Protoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,465,6.142039556122678,,3995.0,Rodent protoparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184275,1.0,Parvoviridae,Protoparvovirus,41,3.713596456650773,1,,,,Rodent protoparvovirus 1,10794,10794,Minute virus of mice
353,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,321.0,Mobala mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182590,0.0,Arenaviridae,Mammarenavirus,15,2.7081168655467533,0,,,Bunyavirales,Mobala mammarenavirus,55097,55097,Mobala mammarenavirus
354,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,5,1.6096378924367667,,321.0,Mobala mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182590,0.0,Arenaviridae,Mammarenavirus,15,2.7081168655467533,7,,,Bunyavirales,Mobala mammarenavirus,55097,55097,Mobala virus
355,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,25,3.218915824068222,,2973.0,Modoc virus,,,,,,,,ICTVonline=20183098,0.0,Flaviviridae,Flavivirus,17,2.833272165855592,6,,,,Modoc virus,64300,64300,Modoc virus
356,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1,0.0009995003330834232,,226.0,Mokola lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181732,0.0,Rhabdoviridae,Lyssavirus,118,4.770693099006027,0,,,Mononegavirales,Mokola lyssavirus,12538,12538,Mokola lyssavirus
357,Monjiviricetes,Rhabdoviridae,ssRNA(-),Lyssavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,78,4.356721647120231,,226.0,Mokola lyssavirus,,,,,,Haploviricotina,,ICTVonline=20181732,0.0,Rhabdoviridae,Lyssavirus,118,4.770693099006027,3,,,Mononegavirales,Mokola lyssavirus,12538,12538,Mokola virus
358,,Poxviridae,dsDNA,Molluscipoxvirus,,"Moved,Assigned as Type Species,",11.0,,,Ratification_1990.pdf,192,5.257500580347552,,4447.0,Molluscum contagiosum virus,,Chordopoxvirinae,,,,,,ICTVonline=20184766,1.0,Poxviridae,Molluscipoxvirus,299,5.7004469178666985,1,,,,Molluscum contagiosum virus,10279,10279,Molluscum contagiosum virus
359,,Retroviridae,ssRNA-RT,Gammaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,321,5.771444238389961,,1930.0,Moloney murine sarcoma virus,,Orthoretrovirinae,,,,,,ICTVonline=20185017,0.0,Retroviridae,Gammaretrovirus,49,3.8918407060656484,1,,,Ortervirales,Moloney murine sarcoma virus,11809,11809,Moloney murine sarcoma virus
360,,Poxviridae,dsDNA,Orthopoxvirus,,"Moved,",5.0,,,Ratification_1978.pdf,306,5.723588369920897,,4451.0,Monkeypox virus,,Chordopoxvirinae,,,,,,ICTVonline=20184771,0.0,Poxviridae,Orthopoxvirus,275,5.616774734023596,7,,,,Monkeypox virus,10244,10244,Monkeypox virus
361,,,,,,,,,,,4,1.3865443298750981,,,,,,,,,,,,,Hantaviridae,Orthohantavirus,3,1.09894556645823,3,,,Bunyavirales,Monongahela hantavirus,2259728,2259728,Monongahela virus
362,,Flaviviridae,ssRNA(+),Flavivirus,,"New,",18.0,,,ICTV 7th Report.pdf,2,0.6936470556015963,,2974.0,Montana myotis leukoencephalitis virus,,,,,,,,ICTVonline=20183099,0.0,Flaviviridae,Flavivirus,10,2.3026850879943788,1,,,,Montana myotis leukoencephalitis virus,64312,64312,Montana myotis leukoencephalitis virus
363,Ellioviricetes,Arenaviridae,ssRNA(+/-),Mammarenavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,0,-6.907755278982137,,322.0,Mopeia mammarenavirus,,,,,,Polyploviricotina,,ICTVonline=20182591,0.0,Arenaviridae,Mammarenavirus,31,3.434019462029382,0,,,Bunyavirales,Mopeia mammarenavirus,11629,11629,Mopeia mammarenavirus
364,,,,,,,,,,,0,-6.907755278982137,,,,,,,,,,,,,Arenaviridae,,93,4.532610245783618,0,,,Bunyavirales,Morogoro mammarenavirus,573900,573900,Morogoro mammarenavirus
365,,Togaviridae,ssRNA(+),Alphavirus,,"New,",23.0,,,ICTV 8th Report.pdf,0,-6.907755278982137,,4683.0,Mosso das Pedras virus,,,,,,,,ICTVonline=20185097,0.0,Togaviridae,Alphavirus,2,0.6936470556015963,1,,,,Mosso das Pedras virus,2083199,2083199,Mosso das Pedras virus 78V3531
366,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ledantevirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,8,2.079566533867987,,208.0,Mount Elgon bat ledantevirus,,,,,,Haploviricotina,,ICTVonline=20181715,0.0,Rhabdoviridae,Ledantevirus,4,1.3865443298750981,2,,,Mononegavirales,Mount Elgon bat ledantevirus,380434,380434,Mount Elgon bat virus
367,,Retroviridae,ssRNA-RT,Betaretrovirus,,"New,",32.0,Ortervirales,,2017.013D.A.v1.Ortervirales.zip,2336,7.7561957720302175,,1911.0,Mouse mammary tumor virus,,Orthoretrovirinae,,,,,,ICTVonline=20184995,1.0,Retroviridae,Betaretrovirus,721,6.580640524246539,1,,,Ortervirales,Mouse mammary tumor virus,11757,11757,Mouse mammary tumor virus
368,,Parvoviridae,ssDNA(+/-),Protoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,12,2.4849899796493045,,3995.0,Rodent protoparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184275,1.0,Parvoviridae,Protoparvovirus,27,3.295873902355512,1,,,,Rodent protoparvovirus 1,35340,35340,Mouse parvovirus 1
369,,Togaviridae,ssRNA(+),Alphavirus,,"Moved,",2.0,,,Ratification_1974.pdf,12,2.4849899796493045,,4684.0,Mucambo virus,,,,,,,,ICTVonline=20185098,0.0,Togaviridae,Alphavirus,29,3.367330312150578,1,,,,Mucambo virus,60875,60875,Mucambo virus
370,Ellioviricetes,Hantaviridae,ssRNA(-),Orthohantavirus,,"Moved,",33.0,Bunyavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,4,1.3865443298750981,,381.0,Puumala orthohantavirus,,,,,,Polyploviricotina,,ICTVonline=20180052,0.0,Hantaviridae,Orthohantavirus,38,3.6376124751696053,15,,,Bunyavirales,Puumala orthohantavirus,340093,340093,Muju virus
371,,,,,,,,,,,2,0.6936470556015963,,,,,,,,,,,,,Hantaviridae,Orthohantavirus,7,1.9460529959950605,3,,,Bunyavirales,Muleshoe hantavirus,47301,47301,Muleshoe virus
372,Monjiviricetes,Paramyxoviridae,ssRNA(-),Rubulavirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,1509,7.319203121458153,,140.0,Mumps rubulavirus,,,,,,Haploviricotina,,ICTVonline=20181635,1.0,Paramyxoviridae,Rubulavirus,6287,8.746239447441424,1,,,Mononegavirales,Mumps rubulavirus,1979165,1979165,Mumps virus
